name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
Dejan Kostić,IMDEA Networks,2014,Program,,Male,Europe,2005,Male,FuzzyMatch
T. V. Lakshman,Bell Labs,2014,Program,Male,Male,North America,1986,Male,FullNameMatch
Nikolaos Laoutaris,Telefónica,2014,Program,Male,Male,Europe,2004,Male,FullNameMatch
Bruce Maggs,Duke University,2014,Program,Male,Male,North America,1989,Male,FullNameMatch
KyoungSoo Park,KAIST,2014,Program,Male,Male,Asia,2007,Male,FullNameMatch
George Porter,"University of California, San Diego",2014,Program,Male,Male,North America,2008,Male,FullNameMatch
Lili Qiu,University of Texas,2014,Program,Female,Female,North America,2001,Female,FullNameMatch
Sanjay Rao,Purdue University,2014,Program,Male,Male,North America,2004,Male,FullNameMatch
Jennifer Rexford,Princeton University,2014,Program,Female,Female,North America,1996,Female,FullNameMatch
Vyas Sekar,Stony Brook University,2014,Program,Male,Male,North America,2010,Male,FullNameMatch
Srinivasan Seshan,Carnegie Mellon University,2014,Program,Male,Male,North America,1995,Male,FullNameMatch
Jonathan Smith,University of Pennsylvania,2014,Program,Male,Male,North America,1989,Male,FullNameMatch
Nina Taft,Technicolor,2014,Program,Female,Female,North America,1994,Female,FullNameMatch
Amin Vahdat,"Google and University of California, San Diego",2014,Program,Male,Male,North America,1998,Male,FullNameMatch
Walter Willinger,Niksun,2014,Program,Male,Male,North America,1987,Male,FullNameMatch
Yuan Yu,Microsoft,2014,Program,Male,Male,North America,1992,Male,FullNameMatch
Ben Zhao,"University of California, Santa Barbara",2014,Program,Male,Male,North America,2004,Male,FullNameMatch
Atul Adya,Google,2015,Program,Male,Male,North America,1999,Male,FullNameMatch
Aditya Akella,University of Wisconsin–Madison,2015,Program,Male,Male,North America,2005,Male,FullNameMatch
Katerina Argyraki,EPFL,2015,Program,,Female,Europe,2007,Female,FuzzyMatch
Hitesh Ballani,Microsoft Research Cambridge,2015,Program,Male,Male,Europe,2009,Male,FullNameMatch
Suman Banerjee,University of Wisconsin–Madison,2015,Program,Male,Male,North America,2003,Male,FullNameMatch
Jeff Chase,Duke University,2015,Program,Male,Male,North America,1995,Male,FullNameMatch
Jeff Dean,Google,2015,Program,Male,Male,North America,1996,Male,FullNameMatch
Prabal Dutta,University of Michigan,2015,Program,Male,Male,North America,2009,Male,FullNameMatch
Nick Feamster,Princeton University,2015,Program,Male,Male,North America,2005,Male,FullNameMatch
Rodrigo Fonseca,Brown University,2015,Program,Male,Male,North America,2015,Male,FullNameMatch
Deepak Ganesan,University of Massachusetts Amherst,2015,Program,Male,Male,North America,2004,Male,FullNameMatch
Sharon Goldberg,Boston University,2015,Program,Female,Female,North America,2009,Female,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2015,Program,Male,Male,North America,2009,Male,FullNameMatch
Mark Handley,University College London,2015,Program,Male,Male,Europe,1997,Male,FullNameMatch
Jon Howell,Microsoft Research Redmond,2015,Program,Male,Male,North America,2000,Male,FullNameMatch
Jaeyeon Jung,Microsoft Research Redmond,2015,Program,Female,Female,North America,2018,Female,FullNameMatch
Sachin Katti,Stanford University,2015,Program,Male,Male,North America,2008,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2015,Program,Male,Male,North America,2012,Male,FullNameMatch
Kimberly Keeton,HP Labs,2015,Program,Female,Female,North America,1999,Female,FullNameMatch
Changhoon Kim,Barefoot Networks,2015,Program,Male,Male,North America,2009,Male,FullNameMatch
Eddie Kohler,Harvard University,2015,Program,Male,Male,North America,2001,Male,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2015,Program,Male,Male,Europe,2005,Male,FullNameMatch
Kate Lin,Academia Sinica Taiwan,2015,Program,,Female,Asia,2009,Female,FuzzyMatch
David Maltz,Microsoft Redmond,2015,Program,Male,Male,North America,2001,Male,FullNameMatch
Petros Maniatis,Google,2015,Program,Male,Male,North America,2003,Male,FullNameMatch
Alan Mislove,Northeastern University,2015,Program,Male,Male,North America,2009,Male,FullNameMatch
Richard Mortier,University of Nottingham,2015,Program,Male,Male,Europe,2001,Male,FullNameMatch
Dushyanth Narayanan,Microsoft Research Cambridge,2015,Program,Male,Male,Europe,2002,Male,FullNameMatch
Venkat Padmanabhan,Microsoft Research India,2015,Program,,Male,Asia,1998,Male,FuzzyMatch
KyoungSoo Park,KAIST,2015,Program,Male,Male,Asia,2007,Male,FullNameMatch
George Porter,"University of California, San Diego",2015,Program,Male,Male,North America,2008,Male,FullNameMatch
Rama Ramasubramanian,Google,2015,Program,Male,Male,North America,2005,Male,FullNameMatch
Franzi Roesner,University of Washington,2015,Program,Female,Female,North America,2014,Female,FullNameMatch
Srinivasan Seshan,Carnegie Mellon University,2015,Program,Male,Male,North America,1995,Male,FullNameMatch
Neil Spring,University of Maryland,2015,Program,Male,Male,North America,2004,Male,FullNameMatch
