name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear
Ranjita Bhagwan,Microsoft Research,2019,Program,Female,Female,Asia,2004
Kai Chen,Hong Kong University of Science and Technology,2019,Program,,Male,Asia,2012
Vijay Chidambaram,The University of Texas at Austin and VMware Research,2019,Program,Male,Male,NorAm,2015
Mosharaf Chowdhury,University of Michigan,2019,Program,Male,Male,NorAm,2015
Asaf Cidon,Barracuda Networks,2019,Program,Male,Male,NorAm,2015
Anja Feldmann,Technische Universität Berlin,2019,Program,Female,Female,EU,1995
Bryan Ford,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program,Male,Male,NorAm,2008
Roxana Geambasu,Columbia University,2019,Program,Female,Female,NorAm,2011
Manya Ghobadi,Microsoft Research,2019,Program,Female,Female,NorAm,2013
Jana Giceva,Imperial College London,2019,Program,Female,Female,EU,2017
Ronghui Gu,Columbia University,2019,Program,Male,Male,NorAm,2016
Haryadi Gunawi,University of Chicago,2019,Program,Male,Male,NorAm,2009
Andreas Haeberlen,University of Pennsylvania,2019,Program,Male,Male,NorAm,2009
Haitham Hassanieh,University of Illinois at Urbana-Champaign,2019,Program,Male,Male,NorAm,2016
Jon Howell,VMware Research,2019,Program,Male,Male,NorAm,2000
Rebecca Isaacs,Twitter,2019,Program,Female,Female,NorAm,2000
Xin Jin,Johns Hopkins University,2019,Program,Male,Male,Asia,2016
Srikanth Kandula,Microsoft Research,2019,Program,Male,Male,NorAm,2008
Manos Kapritsos,University of Michigan,2019,Program,Male,Male,NorAm,2012
Dejan Kostić,KTH Royal Institute of Technology,2019,Program,,Male,EU,2005
Ramakrishna Kotla,Amazon Web Services,2019,Program,Male,Male,NorAm,2008
Arvind Krishnamurthy,University of Washington,2019,Program,Male,Male,NorAm,1998
Hongqiang Liu,Alibaba,2019,Program,,Male,Asia,2014
Harsha V. Madhyastha,University of Michigan and Google,2019,Program,Male,Male,NorAm,2008
Dahlia Malkhi,VMware Research,2019,Program,Female,Female,NorAm,1994
Allison Mankin,Salesforce,2019,Program,Female,Female,NorAm,?
Derek Murray,Google,2019,Program,Male,Male,NorAm,2011
Aurojit Panda,New York University,2019,Program,Male,Male,NorAm,2017
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2019,Program,Male,Male,Asia,2007
Amar Phanishayee,Microsoft Research,2019,Program,Male,Male,NorAm,2012
Raluca Ada Popa,"University of California, Berkeley",2019,Program,Female,Female,NorAm,2014
George Porter,"University of California, San Diego",2019,Program,Male,Male,NorAm,2008
Lili Qiu,The University of Texas at Austin,2019,Program,Female,Female,NorAm,2001
K. K. Ramakrishnan,"University of California, Riverside",2019,Program,Male,Male,NorAm,1983
Michael Schapira,Hebrew University of Jerusalem,2019,Program,Male,Male,Asia,2008
Cole Schlesinger,Amazon Web Services,2019,Program,Male,Male,NorAm,2015
Vyas Sekar,Carnegie Mellon University,2019,Program,Male,Male,NorAm,2010
Ankit Singla,ETH Zurich,2019,Program,Male,Male,EU,2015
