name,region,year,committee
Alan (Zaoxing) Liu,Boston University,2023,Program
Grace Liu,NYU Shanghai,2023,Program
Jay Lorch,Microsoft Research,2023,Program
Harsha Madhyastha,University of Michigan,2023,Program
Morley Z. Mao,University of Michigan,2023,Program
James Mickens,Harvard University,2023,Program
Radhika Mittal,University of Illinois at Urbana–Champaign,2023,Program
Jayashree Mohan,Microsoft Research India,2023,Program
Iqbal Mohomed,Samsung AI Center Toronto,2023,Program
Shuai Mu,Stony Brook University,2023,Program
Rajalakshmi Nandakumar,Cornell Tech,2023,Program
Srinivas Narayana,Rutgers University,2023,Program
Ravi Netravali,Princeton University,2023,Program
Amy Ousterhout,"University of California, Berkeley",2023,Program
Aurojit Panda,New York University,2023,Program
Peter Pietzuch,Imperial College London,2023,Program
Sanjay Rao,Purdue University,2023,Program
Jennifer Rexford,Princeton University,2023,Program
Nirupam Roy,"University of Maryland, College Park",2023,Program
Ahmed Saeed,Georgia Institute of Technology,2023,Program
Raja Sambasivan,Tufts University,2023,Program
Stefan Schmid,Technische Universität Berlin,2023,Program
Aaron Schulman,"University of California, San Diego",2023,Program
Siddhartha Sen,Microsoft Research,2023,Program
Srinivasan Seshan,Carnegie Mellon University,2023,Program
Muhammad Shahbaz,Purdue University,2023,Program
Rachee Singh,Microsoft Research,2023,Program
Dimitrios Skarlatos 0002,Carnegie Mellon University,2023,Program
Alex Snoeren,"University of California, San Diego",2023,Program
Brent Stephens,University of Utah,2023,Program
Mina Tahmasbi,Cornell University,2023,Program
Amy Tai,Google,2023,Program
Doug Terry,Amazon,2023,Program
Amin Vahdat,Google,2023,Program
Hakim Weatherspoon,Cornell University,2023,Program
Michael Wei,VMware Research,2023,Program
John Wilkes,Google,2023,Program
Keith Winstein,Stanford University,2023,Program
Yiting Xia,Max Planck Institute for Informatics,2023,Program
Tianyin Xu,University of Illinois at Urbana–Champaign,2023,Program
Neeraja Yadwadkar,The University of Texas at Austin,2023,Program
Francis Yan,Microsoft Research,2023,Program
Ellen Zegura,Georgia Institute of Technology,2023,Program
Ennan Zhai,Alibaba,2023,Program
Ying Zhang,Meta,2023,Program
Ben Zhao,University of Chicago,2023,Program
Zhizhen Zhong,Massachusetts Institute of Technology,2023,Program
Danyang Zhuo,Duke University,2023,Program
Casey Henderson,USENIX Association,2013,Steering
Brian Noble,University of Michigan,2013,Steering
Jennifer Rexford,Princeton University,2013,Steering
Mike Schroeder,Microsoft Research,2013,Steering
Alex C. Snoeren,"University of California, San Diego",2013,Steering
Chandu Thekkath,Microsoft Research,2013,Steering
